Nature mutation;Valeur fonciere;Code postal;Code type local;Surface reelle bati;Nombre pieces principales;Surface terrain
Vente;300000.0;1310;4;9233;0;19009
Vente;198000.0;1000;4;112;0;377
Vente;490000.0;1340;4;2100;0;2438
Vente;13000.0;1000;4;34;0;0
Vente;140000.0;1000;4;360;0;1050
Vente;214400.0;1750;4;25;0;2003
Vente;214400.0;1750;4;270;0;2003
Vente;200000.0;1000;4;286;0;0
Vente;205000.0;1000;4;80;0;117
Vente;225000.0;1000;4;140;0;0
Vente en l'état futur d'achèvement;2040000.0;1440;4;1057;0;3875
Vente;150000.0;1000;4;40;0;50
Vente;17400.0;1560;4;0;0;100
Vente;17400.0;1560;4;0;0;3134
Vente;60000.0;1570;4;272;0;366
Vente;1254782.9;1340;4;881;0;52379
Vente;1254782.9;1340;4;0;0;52379
Vente;210000.0;1750;4;165;0;520
Vente;86000.0;1000;4;39;0;0
Vente;350000.0;1000;4;487;0;913
Vente;57000.0;1851;4;274;0;0
Vente;98000.0;1960;4;1808;0;1868
Vente;210000.0;1250;4;162;0;175
Vente;4750000.0;1340;4;1200;0;10600
Vente;4750000.0;1340;4;4730;0;13159
Vente;4750000.0;1340;4;4730;0;10600
Vente;4750000.0;1340;4;1200;0;13159
Vente;500.0;1440;4;0;0;161
Vente;172000.0;1000;4;240;0;427
Vente;735000.0;1000;4;926;0;0
Vente;168000.0;1290;4;280;0;570
Vente;144900.0;1270;4;90;0;598
Vente;185000.0;1160;4;40;0;0
Vente;83000.0;1250;4;177;0;1454
Vente;92160.0;1000;4;60;0;0
Vente;55000.0;1560;4;19;0;107
Vente;280000.0;1570;4;166;0;2001
Vente;280000.0;1570;4;378;0;2001
Vente;50000.0;1000;4;57;0;783
Vente;50000.0;1000;4;167;0;783
Vente;50000.0;1000;4;602;0;783
Vente;50000.0;1000;4;70;0;783
Vente;28000.0;1190;4;290;0;1079
Vente;170000.0;1340;4;0;0;3611
Vente;165500.0;1000;4;55;0;302
Vente;165500.0;1000;4;125;0;302
Vente;10000.0;1440;4;67;0;1715
Vente;245000.0;1560;4;243;0;2000
Vente;245000.0;1560;4;243;0;2105
Vente;230000.0;1440;4;570;0;1907
Vente;280000.0;1960;4;450;0;1439
Vente;280000.0;1960;4;450;0;1386
Vente;290000.0;1000;4;404;0;836
Vente;290000.0;1000;4;826;0;826
Vente;230000.0;1000;4;170;0;393
Vente;230000.0;1000;4;170;0;841
Vente;360000.0;1000;4;691;0;524
Vente;47000.0;1750;4;50;0;0
Vente;270000.0;1000;4;68;0;1100
Vente;270000.0;1000;4;275;0;1100
Vente;120000.0;1000;4;398;0;1700
Vente;70000.0;1270;4;38;0;132
Vente;780000.0;1000;4;648;0;2472
Vente;550000.0;1960;4;917;0;3081
Vente;909250.0;1000;4;70;0;460
Vente;909250.0;1000;4;70;0;474
Vente;38000.0;1000;4;75;0;0
Vente;71000.0;1190;4;110;0;176
Vente;545000.0;1960;4;950;0;2069
Vente;120000.0;1160;4;62;0;134
Vente;120000.0;1160;4;41;0;46
Vente;120000.0;1160;4;38;0;40
Vente;120000.0;1160;4;38;0;40
Vente;120000.0;1160;4;32;0;34
Vente;120000.0;1160;4;38;0;40
Vente;120000.0;1160;4;100;0;168
Vente;280000.0;1250;4;27;0;2607
Vente;280000.0;1250;4;27;0;1948
Vente;85000.0;1000;4;216;0;106
Vente;334000.0;1190;4;21610;0;21981
Vente;300200.0;1160;4;34;0;1148
Vente;150000.0;1750;4;378;0;1286
Vente;29680.0;1000;4;272;0;210
Vente;310000.0;1000;4;336;0;594
Vente;310000.0;1000;4;151;0;0
Vente;143000.0;1190;4;705;0;1363
Vente;40000.0;1000;4;20;0;0
Vente;40000.0;1000;4;12;0;0
Vente;240000.0;1340;4;170;0;274
Vente;370000.0;1960;4;584;0;2500
Vente;200000.0;1570;4;28;0;445
Vente;450000.0;1250;4;1358;0;3446
Vente;85000.0;1560;4;45;0;133
Vente;150000.0;1000;4;50;0;0
Vente;150000.0;1000;4;120;0;0
Vente;68000.0;1000;4;73;0;0
Vente;320000.0;1000;4;584;0;10733
Vente;320000.0;1000;4;758;0;10733
Vente;320000.0;1000;4;593;0;10733
Vente;320000.0;1000;4;586;0;10733
Vente;320000.0;1000;4;882;0;10733
Vente;170000.0;1000;4;70;0;535
Vente;30000.0;1270;4;950;0;0
Vente;30000.0;1270;4;950;0;0
Vente;180000.0;1310;4;641;0;713
Vente;500000.0;1380;4;3513;0;3889
Vente;46200.0;1250;4;354;0;167
Vente;600000.0;1000;4;800;0;8912
Vente;600000.0;1000;4;900;0;8912
Vente;337500.0;1370;4;51;0;6737
Vente;337500.0;1370;4;51;0;2500
Vente;337500.0;1370;4;51;0;600
Vente;13000.0;1190;4;360;0;1785
Vente;220000.0;1960;4;520;0;2444
Vente;150000.0;1000;4;38;0;0
Vente;150000.0;1000;4;8;0;0
Vente;1.2;1000;4;1448;0;5217
Vente;450000.0;1000;4;31;0;633
Vente;450000.0;1000;4;31;0;759
Vente;450000.0;1000;4;85;0;633
Vente;450000.0;1000;4;85;0;759
Vente;450000.0;1000;4;65;0;1611
Vente;450000.0;1000;4;75;0;1611
Vente;450000.0;1000;4;67;0;1611
Vente;450000.0;1000;4;124;0;1611
Vente;40000.0;1000;4;60;0;163
Adjudication;54000.0;1270;4;362;0;2045
Vente;630000.0;1160;4;0;0;3106
Vente;630000.0;1160;4;250;0;135
Vente;1.0;1000;4;5;0;17
Vente;240575.0;1540;4;0;0;1102
Vente;1.2;1960;4;850;0;2500
Vente;353000.0;1750;4;257;0;1120
Vente;186500.0;1750;4;18;0;465
Vente;300000.0;1000;4;125;0;173
Vente;135000.0;1750;4;250;0;1435
Vente;9650000.0;1240;4;0;0;112377
Vente;3000000.0;1000;4;2465;0;5926
Vente;400000.0;1000;4;299;0;568
Vente;400000.0;1000;4;71;0;1364
Vente;35000.0;1000;4;33;0;0
Vente;250568.0;1960;4;37;0;720
Vente;720000.0;1160;4;438;0;273
Vente;720000.0;1160;4;782;0;559
Vente;157500.0;1100;4;0;0;1500
Vente;85000.0;1640;4;176;0;130
Vente;1340000.0;1170;4;363;0;5762
Vente;1340000.0;1170;4;832;0;5762
Vente;290000.0;1170;4;74;0;168
Vente;133150.0;1300;4;20;0;0
Vente;100000.0;1100;4;300;0;893
Vente;522000.0;1300;4;367;0;2006
Vente;449900.0;1100;4;1173;0;2488
Vente;71500.0;1200;4;41;0;0
Vente;71500.0;1200;4;77;0;0
Vente;27000.0;1260;4;120;0;357
Vente;870000.0;1220;4;0;0;159
Vente;210000.0;1500;4;118;0;0
Vente;108000.0;1410;4;168;0;794
Vente;108000.0;1410;4;161;0;794
Vente;103000.0;1260;4;260;0;857
Vente;320000.0;1220;4;58;0;0
Vente;556000.0;1420;4;160;0;558
Vente;70000.0;1420;4;20;0;220
Vente;68000.0;1300;4;500;0;0
Vente;7000000.0;1220;4;2581;0;7058
Vente;97000.0;1450;4;233;0;577
Vente;350000.0;1100;4;1500;0;2858
Vente;1.2;1580;4;0;0;31233
Vente;13000.0;1100;4;98;0;121
Vente;158000.0;1300;4;74;0;6
Vente;167000.0;1150;4;48;0;108
Vente;220000.0;1420;4;66;0;662
Vente;270000.0;1460;4;945;0;1884
Vente;400000.0;1200;4;296;0;1145
Vente;400000.0;1200;4;187;0;1145
Vente;1250000.0;1100;4;1607;0;2407
Vente;1100000.0;1630;4;613;0;2870
Vente;346155.97;1200;4;2380;0;7252
Vente;245000.0;1100;4;219;0;199
Vente;251128.0;1150;4;0;0;53
Vente;251128.0;1150;4;9;0;181
Vente;350000.0;1100;4;780;0;2354
Vente;110000.0;1100;4;250;0;372
Vente;130000.0;1200;4;36;0;170
Vente;1160000.0;1150;4;6200;0;16457
Vente;200000.0;1300;4;272;0;547
Vente;200000.0;1300;4;369;0;547
Vente;326000.0;1100;4;372;0;1016
Vente;800000.0;1100;4;500;0;5660
Vente;665000.0;1210;4;0;0;52
Vente;273000.0;1500;4;137;0;201
Vente;7000.0;1510;4;66;0;1199
Vente;82000.0;1220;4;35;0;0
Vente;82000.0;1220;4;11;0;0
Vente;130000.0;1150;4;110;0;66
Vente;613300.0;1630;4;0;0;335
Vente;55500.0;1200;4;77;0;0
Vente;55500.0;1200;4;41;0;0
Vente;55000.0;1200;4;38;0;523
Vente;80000.0;1200;4;455;0;489
Vente;191500.0;1300;4;23;0;169
Vente;191500.0;1300;4;82;0;169
Vente;120000.0;1360;4;163;0;0
Vente;65000.0;1150;4;39;0;0
Vente;540000.0;1150;4;0;0;8817
Vente;88000.0;1640;4;89;0;0
Vente;280000.0;1100;4;1239;0;5349
Vente;160000.0;1230;4;100;0;277
Vente;133150.0;1300;4;20;0;0
Vente;1.0;1200;4;0;0;3470
Vente;1.0;1200;4;552;0;3470
Vente;619179.6;1430;4;263;0;0
Vente;110000.0;1210;4;27;0;0
Vente;110000.0;1210;4;30;0;0
Vente;110000.0;1210;4;23;0;0
Vente;110000.0;1210;4;17;0;0
Vente;110000.0;1210;4;30;0;0
Vente;366100.0;1550;4;0;0;9
Vente;1400000.0;1630;4;294;0;1465
Vente;105000.0;1210;4;88;0;0
Vente;870290.0;1280;4;0;0;50
Vente;1.0;1300;4;1490;0;3052
Vente;72000.0;1470;4;188;0;0
Vente;710000.0;1170;4;100;0;1250
Vente;710000.0;1170;4;161;0;1250
Vente;427246.0;1100;4;1349;0;3139
Vente;28500.0;1110;4;88;0;92
Vente;7373992.0;1170;4;602;0;6232
Vente;7373992.0;1170;4;7123;0;6232
